shares,len,wires,couplingMs,naiveMs,verdictC,verdictN
2,1,8,1,0,secure,secure
2,2,16,2,3,secure,secure
2,3,24,5,11,secure,secure
2,4,32,16,35,secure,secure
2,5,40,43,100,secure,secure
2,6,48,113,265,secure,secure
2,7,56,285,669,secure,secure
2,8,64,718,1597,secure,secure
2,9,72,1652,3857,secure,secure
2,10,80,3792,8966,secure,secure
2,11,88,8715,20360,secure,secure
2,12,96,18796,45337,secure,secure
3,1,21,2,33,secure,secure
3,2,42,53,633,secure,secure
3,3,63,596,4954,secure,secure
3,4,84,3980,26847,secure,secure
3,5,105,21967,130396,secure,secure
3,6,126,102470,596678,secure,secure
